시리즈,선형번호,프루드수_Fn,전저항_Rt/Δ×10³
Delft,Delft-1,0.099954117,0.367053553
Delft,Delft-1,0.149931176,1.012177978
Delft,Delft-1,0.199908234,1.924250442
Delft,Delft-1,0.249885293,3.525938671
Delft,Delft-1,0.300165243,6.028576529
Delft,Delft-1,0.350142301,10.07728844
Delft,Delft-1,0.400018396,23.04651396
Delft,Delft-1,0.449995455,48.38433192
Delft,Delft-1,0.500073477,83.64371863
Delft,Delft-1,0.549949572,114.9211304
Delft,Delft-1,0.599926631,131.8278395
Delft,Delft-2,0.099954117,0.389426578
Delft,Delft-2,0.149931176,1.03476205
Delft,Delft-2,0.199908234,1.936006416
Delft,Delft-2,0.249885293,3.282309728
Delft,Delft-2,0.300165243,5.808019248
Delft,Delft-2,0.350142301,9.657779132
Delft,Delft-2,0.400018396,24.38923025
Delft,Delft-2,0.449995455,52.7061057
Delft,Delft-2,0.500073477,90.62512792
Delft,Delft-2,0.549949572,116.8502263
Delft,Delft-2,0.599926631,132.8055895
Delft,Delft-3,0.099954117,0.523971282
Delft,Delft-3,0.124993128,0.847272711
Delft,Delft-3,0.149931176,1.17057414
Delft,Delft-3,0.174869223,1.58306217
Delft,Delft-3,0.199908234,2.408038231
Delft,Delft-3,0.225149173,3.12153104
Delft,Delft-3,0.249885293,4.035693701
Delft,Delft-3,0.300165243,7.079186465
Delft,Delft-3,0.35064712,12.07363613
Delft,Delft-3,0.400826106,24.96109999
Delft,Delft-3,0.448985817,50.24550141
Delft,Delft-3,0.499467695,87.96028537
Delft,Delft-3,0.549949572,123.7464091
Delft,Delft-3,0.600431449,140.5023418
Delft,Delft-3,0.65101429,150.5692794
Delft,Delft-4,0.099954117,0.405858591
Delft,Delft-4,0.149931176,0.91994614
Delft,Delft-4,0.199908234,2.178107772
Delft,Delft-4,0.249885293,3.706841799
Delft,Delft-4,0.300165243,6.412565739
Delft,Delft-4,0.350142301,10.89053886
Delft,Delft-4,0.400018396,23.59391276
Delft,Delft-4,0.449995455,47.49898378
Delft,Delft-4,0.500073477,80.60351619
Delft,Delft-4,0.549949572,107.2684256
Delft,Delft-4,0.599926631,123.9492137
Delft,Delft-5,0.099954117,0.312358075
Delft,Delft-5,0.149931176,0.979284775
Delft,Delft-5,0.199908234,1.815053678
Delft,Delft-5,0.249885293,3.368401941
Delft,Delft-5,0.300165243,5.841940209
Delft,Delft-5,0.350142301,10.18118481
Delft,Delft-5,0.400018396,23.40997139
Delft,Delft-5,0.449995455,50.47537646
Delft,Delft-5,0.500073477,93.87626463
Delft,Delft-5,0.549949572,139.5396383
Delft,Delft-5,0.599926631,162.6879043
Delft,Delft-6,0.099954117,0.191931918
Delft,Delft-6,0.149931176,0.901245527
Delft,Delft-6,0.199908234,1.844215384
Delft,Delft-6,0.249885293,3.221118272
Delft,Delft-6,0.30036717,5.7412678
Delft,Delft-6,0.351151939,9.688389413
Delft,Delft-6,0.401330925,24.27521516
Delft,Delft-6,0.449288708,55.93563672
Delft,Delft-6,0.500073477,103.1926128
Delft,Delft-6,0.550555354,151.9933891
Delft,Delft-6,0.600936268,179.9486902
Delft,Delft-6,0.651418145,191.414536
Delft,Delft-6,0.699476893,197.4812536
Delft,Delft-7,0.099954117,0.444574781
Delft,Delft-7,0.124993128,0.847470676
Delft,Delft-7,0.149931176,1.1670088
Delft,Delft-7,0.174869223,1.708834314
Delft,Delft-7,0.199706307,2.347910562
Delft,Delft-7,0.224947246,3.056451619
Delft,Delft-7,0.249885293,4.140102647
Delft,Delft-7,0.300165243,6.904802066
Delft,Delft-7,0.350849048,11.75344577
Delft,Delft-7,0.400826106,24.28489741
Delft,Delft-7,0.44878389,46.66645903
Delft,Delft-7,0.499467695,77.63387112
Delft,Delft-7,0.549747644,107.0452715
Delft,Delft-7,0.600229522,121.8829548
Delft,Delft-7,0.650408508,130.4965912
Delft,Delft-10,0.099954117,0.333685048
Delft,Delft-10,0.149931176,1.056669318
Delft,Delft-10,0.199908234,1.990987452
Delft,Delft-10,0.249885293,3.559307176
Delft,Delft-10,0.30036717,6.551349771
Delft,Delft-10,0.351151939,11.36753729
Delft,Delft-10,0.401330925,27.08410304
Delft,Delft-10,0.449288708,52.68886904
Delft,Delft-10,0.500073477,90.09496289
Delft,Delft-10,0.550555354,122.1287275
Delft,Delft-10,0.600936268,136.8442381
Delft,Delft-10,0.651418145,145.2975926
Delft,Delft-11,0.099954117,0.366973556
Delft,Delft-11,0.149931176,1.056439025
Delft,Delft-11,0.199706307,2.079516818
Delft,Delft-11,0.249885293,3.569651865
Delft,Delft-11,0.300165243,6.783450584
Delft,Delft-11,0.350142301,11.40954147
Delft,Delft-11,0.400018396,24.2091343
Delft,Delft-11,0.449995455,51.65430814
Delft,Delft-11,0.500073477,88.94104553
Delft,Delft-11,0.549949572,122.2800371
Delft,Delft-11,0.599926631,146.5002918
Delft,Delft-12,0.099954117,0.271651991
Delft,Delft-12,0.149931176,0.950781968
Delft,Delft-12,0.199908234,1.983059533
Delft,Delft-12,0.224947246,2.811598105
Delft,Delft-12,0.249885293,3.667301876
Delft,Delft-12,0.277650325,5.120640028
Delft,Delft-12,0.30036717,6.669056375
Delft,Delft-12,0.325608109,8.828689703
Delft,Delft-12,0.350849048,11.9255224
Delft,Delft-12,0.376089986,17.57588381
Delft,Delft-12,0.401330925,26.18725192
Delft,Delft-12,0.42404777,36.17046258
Delft,Delft-12,0.449288708,50.78533969
Delft,Delft-12,0.474731575,66.44607696
Delft,Delft-12,0.500073477,81.93024044
Delft,Delft-12,0.550252463,107.9001708
Delft,Delft-14,0.099954117,0.380262175
Delft,Delft-14,0.149931176,1.072882565
Delft,Delft-14,0.199908234,2.00995721
Delft,Delft-14,0.249885293,3.340874823
Delft,Delft-14,0.30036717,5.500220744
Delft,Delft-14,0.351151939,9.886816548
Delft,Delft-14,0.401330925,26.17018611
Delft,Delft-14,0.449288708,51.11810094
Delft,Delft-14,0.500073477,86.79484143
Delft,Delft-14,0.550252463,112.8156388
Delft,Delft-14,0.600936268,128.406388
Delft,Delft-14,0.651216218,139.2302792
Delft,Delft-14,0.699174001,144.8798886
Delft,Delft-15,0.099954117,0.296794193
Delft,Delft-15,0.124993128,0.582596008
Delft,Delft-15,0.149931176,0.956336843
Delft,Delft-15,0.174869223,1.341070056
Delft,Delft-15,0.199908234,1.802749911
Delft,Delft-15,0.224947246,2.407330674
Delft,Delft-15,0.249885293,3.231758987
Delft,Delft-15,0.30036717,5.276341202
Delft,Delft-15,0.351151939,10.00306353
Delft,Delft-15,0.401330925,25.81010238
Delft,Delft-15,0.449288708,54.54417718
Delft,Delft-15,0.500073477,92.19307014
Delft,Delft-15,0.550252463,125.1921874
Delft,Delft-15,0.600936268,143.9122063
Delft,Delft-15,0.651418145,153.7723689
Delft,Delft-16,0.099954117,0.100228357
Delft,Delft-16,0.149931176,0.768417407
Delft,Delft-16,0.199908234,1.520130089
Delft,Delft-16,0.249885293,2.756279831
Delft,Delft-16,0.30036717,4.54368554
Delft,Delft-16,0.351151939,8.895266728
Delft,Delft-16,0.401330925,27.89689284
Delft,Delft-16,0.449288708,62.36709545
Delft,Delft-16,0.500073477,109.8753369
Delft,Delft-16,0.550252463,144.8383289
Delft,Delft-16,0.600936268,165.97816
Delft,Delft-16,0.651216218,177.8301633
Delft,Delft-16,0.698972074,182.0314019
Delft,Delft-17,0.099954117,0.133707206
Delft,Delft-17,0.149931176,0.880239108
Delft,Delft-17,0.199908234,1.738193682
Delft,Delft-17,0.249885293,3.799513112
Delft,Delft-17,0.30036717,7.275900476
Delft,Delft-17,0.351151939,13.71613091
Delft,Delft-17,0.401330925,28.01165972
Delft,Delft-17,0.449288708,50.96473014
Delft,Delft-17,0.500073477,88.70358911
Delft,Delft-17,0.550555354,121.5509928
Delft,Delft-17,0.600936268,135.7239567
Delft,Delft-17,0.651418145,144.1252261
Delft,Delft-17,0.699476893,152.8273368
Delft,Delft-18,0.09975219,0.044559338
Delft,Delft-18,0.149931176,0.646110406
Delft,Delft-18,0.199908234,1.682115022
Delft,Delft-18,0.249885293,3.542467398
Delft,Delft-18,0.30036717,6.97353645
Delft,Delft-18,0.351151939,11.90848317
Delft,Delft-18,0.401330925,24.0286232
Delft,Delft-18,0.449288708,51.59971379
Delft,Delft-18,0.500073477,91.61399962
Delft,Delft-18,0.550555354,130.0241493
Delft,Delft-18,0.600936268,148.5274145
Delft,Delft-20,0.099954117,0.523572225
Delft,Delft-20,0.149931176,1.125123293
Delft,Delft-20,0.199908234,2.205687248
Delft,Delft-20,0.249885293,3.631586074
Delft,Delft-20,0.300165243,6.461104059
Delft,Delft-20,0.350142301,11.25123293
Delft,Delft-20,0.400018396,26.86928102
Delft,Delft-20,0.449995455,54.85254549
Delft,Delft-20,0.500073477,94.64403463
Delft,Delft-20,0.549949572,130.6925393
Delft,Delft-20,0.599926631,150.8890594
Delft,Delft-21,0.099954117,0.46046147
Delft,Delft-21,0.149931176,1.029266816
Delft,Delft-21,0.199908234,2.112705569
Delft,Delft-21,0.249885293,4.022266372
Delft,Delft-21,0.300165243,7.015265928
Delft,Delft-21,0.350142301,12.41891671
Delft,Delft-21,0.400018396,24.72948954
Delft,Delft-21,0.449995455,46.22220581
Delft,Delft-21,0.500073477,79.80880716
Delft,Delft-21,0.549949572,108.4928482
Delft,Delft-21,0.599926631,124.3787689
Delft,Delft-22,0.099954117,0.066639039
Delft,Delft-22,0.149931176,0.733029431
Delft,Delft-22,0.199908234,1.765934537
Delft,Delft-22,0.249885293,3.281972678
Delft,Delft-22,0.300165243,6.780522233
Delft,Delft-22,0.350142301,12.16162464
Delft,Delft-22,0.400018396,23.62353938
Delft,Delft-22,0.449995455,48.00509783
Delft,Delft-22,0.500073477,94.07766352
Delft,Delft-22,0.549949572,141.2830929
Delft,Delft-22,0.599926631,163.9153765
Delft,Delft-23,0.100055082,0.434316735
Delft,Delft-23,0.149931177,1.085791838
Delft,Delft-23,0.2000092,1.96719933
Delft,Delft-23,0.250592041,3.563952032
Delft,Delft-23,0.300468136,6.042112227
Delft,Delft-23,0.349940376,10.53856784
Delft,Delft-23,0.399614544,24.83269803
Delft,Delft-23,0.449490639,50.55957758
Delft,Delft-23,0.501184082,83.81035586
Delft,Delft-23,0.55085825,107.5700361
Delft,Delft-23,0.600532418,123.3076307
Delft,Delft-23,0.650408513,132.1217056
Delft,Delft-23,0.70008268,139.453994
Delft,Delft-23,0.749958776,144.2825742
Delft,Delft-24,0.100055082,0.953952724
Delft,Delft-24,0.124892166,1.635347527
Delft,Delft-24,0.149931177,2.453021291
Delft,Delft-24,0.174768261,3.441043755
Delft,Delft-24,0.2000092,4.633484661
Delft,Delft-24,0.250390114,7.836040235
Delft,Delft-24,0.300064281,11.95847879
Delft,Delft-24,0.349435558,18.12510176
Delft,Delft-24,0.399109725,29.98137133
Delft,Delft-24,0.449086784,48.75379816
Delft,Delft-24,0.500780227,67.66250394
Delft,Delft-24,0.550454395,81.39260922
Delft,Delft-24,0.60033049,95.56562113
Delft,Delft-24,0.650206585,107.1493328
Delft,Delft-24,0.699880753,118.0857194
Delft,Delft-24,0.748848174,128.7154783
Delft,Delft-24,0.800137762,140.6058176
Delft,Delft-24,0.850215785,153.9952255
Delft,Delft-24,0.900192844,168.4067256
Delft,Delft-24,0.950169903,183.7721784
Delft,Delft-24,1.000146962,200.1597234
Delft,Delft-24,1.050124021,217.4671514
Delft,Delft-24,1.100202043,235.1152768
Delft,Delft-24,1.150179102,252.4227048
Delft,Delft-25,0.089352924,0.441882243
Delft,Delft-25,0.134079867,1.016329158
Delft,Delft-25,0.178806811,1.877999531
Delft,Delft-25,0.223533755,3.512963828
Delft,Delft-25,0.268462626,5.633998593
Delft,Delft-25,0.313088606,8.550421393
Delft,Delft-25,0.357815549,13.80882008
Delft,Delft-25,0.402542493,24.98844082
Delft,Delft-25,0.447269437,44.07775369
Delft,Delft-25,0.491895417,62.15073742
Delft,Delft-25,0.500073481,64.95668966
Delft,Delft-25,0.53662236,76.8875102
Delft,Delft-25,0.549949576,80.82026216
Delft,Delft-25,0.599825671,93.59065897
Delft,Delft-25,0.650004658,103.2899742
Delft,Delft-25,0.699880753,111.4647957
Delft,Delft-25,0.749958776,119.5512407
Delft,Delft-26,0.09975219,1.189491131
Delft,Delft-26,0.149931177,3.103020343
Delft,Delft-26,0.199807272,5.895738651
Delft,Delft-26,0.249885295,9.619363062
Delft,Delft-26,0.29976139,14.4807616
Delft,Delft-26,0.349940376,21.10053833
Delft,Delft-26,0.399816472,32.37484558
Delft,Delft-26,0.449894494,48.9242874
Delft,Delft-26,0.499871553,64.02565307
Delft,Delft-26,0.549949576,78.14439563
Delft,Delft-26,0.599825671,91.38394909
Delft,Delft-26,0.650004658,103.5891624
Delft,Delft-26,0.699880753,116.0529608
Delft,Delft-26,0.749958776,127.7410041
Delft,Delft-27,0.100055082,0.385535034
Delft,Delft-27,0.149931177,0.950986416
Delft,Delft-27,0.2000092,1.837716993
Delft,Delft-27,0.250592041,3.084280268
Delft,Delft-27,0.300468136,5.294681127
Delft,Delft-27,0.349738449,8.828752268
Delft,Delft-27,0.399614544,23.76180923
Delft,Delft-27,0.449490639,52.23999704
Delft,Delft-27,0.501184082,83.81531629
Delft,Delft-27,0.55085825,103.3876448
Delft,Delft-27,0.600532418,116.7528593
Delft,Delft-27,0.65061044,125.8900396
Delft,Delft-27,0.70008268,130.9148462
Delft,Delft-27,0.750160703,132.7782656
Delft,Delft-28,0.100055082,0.803160661
Delft,Delft-28,0.149931177,1.920601582
Delft,Delft-28,0.2000092,3.631682991
Delft,Delft-28,0.250592041,6.076085004
Delft,Delft-28,0.300266209,9.56808788
Delft,Delft-28,0.349940376,14.35213182
Delft,Delft-28,0.399614544,24.93290053
Delft,Delft-28,0.449490639,42.11355468
Delft,Delft-28,0.501184082,57.96724774
Delft,Delft-28,0.550656322,71.13209858
Delft,Delft-28,0.600532418,82.51602796
Delft,Delft-28,0.650408513,93.27139681
Delft,Delft-28,0.70008268,102.9791648
Delft,Delft-28,0.749958776,112.4774126
Delft,Delft-28,0.80033969,121.8709004
Delft,Delft-28,0.850013857,132.0675488
Delft,Delft-28,0.90009188,143.241958
Delft,Delft-28,0.95037183,156.7909291
Delft,Delft-28,0.999945034,171.247821
Delft,Delft-28,1.050124021,189.476076
Delft,Delft-28,1.100303007,208.4376517
Delft,Delft-29,0.099348335,0.732039821
Delft,Delft-29,0.149022503,2.066935965
Delft,Delft-29,0.200917873,4.176933097
Delft,Delft-29,0.250592041,7.148153547
Delft,Delft-29,0.300266209,11.36814781
Delft,Delft-29,0.349940376,16.92303822
Delft,Delft-29,0.399614544,27.21465688
Delft,Delft-29,0.449288712,43.79320577
Delft,Delft-29,0.49896288,58.64930802
Delft,Delft-29,0.55085825,72.81643161
Delft,Delft-29,0.600532418,86.85437171
Delft,Delft-29,0.650206585,100.5478225
Delft,Delft-29,0.699880753,110.5810741
Delft,Delft-29,0.749554921,120.8296316
Delft,Delft-31,0.089352924,0.877823932
Delft,Delft-31,0.134079867,2.633471795
Delft,Delft-31,0.178604883,5.078838462
Delft,Delft-31,0.223533755,8.464730771
Delft,Delft-31,0.268462626,12.72844701
Delft,Delft-31,0.313088606,18.43430257
Delft,Delft-31,0.357815549,25.39419231
Delft,Delft-31,0.402542493,34.6113436
Delft,Delft-31,0.447269437,47.9668077
Delft,Delft-31,0.491895417,62.26279745
Delft,Delft-31,0.53662236,75.49285813
Delft,Delft-31,0.581349304,88.34670856
Delft,Delft-31,0.626076248,102.0783829
Delft,Delft-31,0.670702228,117.1894949
Delft,Delft-31,0.699880753,125.0272086
Delft,Delft-31,0.749554921,137.881059
Delft,Delft-33,0.099348335,0.904284485
Delft,Delft-33,0.149022503,2.454486459
Delft,Delft-33,0.200917873,4.56448359
Delft,Delft-33,0.250592041,7.234275879
Delft,Delft-33,0.300266209,11.15284198
Delft,Delft-33,0.349940376,17.56895571
Delft,Delft-33,0.399614544,28.03281903
Delft,Delft-33,0.449288712,42.54443195
Delft,Delft-33,0.49896288,56.32400505
Delft,Delft-33,0.55085825,70.01745583
Delft,Delft-33,0.600532418,83.53866193
Delft,Delft-33,0.650206585,98.56700885
Delft,Delft-33,0.699880753,109.2031168
Delft,Delft-33,0.751776123,118.2459617
Delft,Delft-35,0.099348335,1.320973467
Delft,Delft-35,0.149022503,2.599334887
Delft,Delft-35,0.198696671,4.857773396
Delft,Delft-35,0.250592041,8.138901041
Delft,Delft-35,0.300266209,12.44271782
Delft,Delft-35,0.349940376,19.00497311
Delft,Delft-35,0.401835747,29.57276085
Delft,Delft-35,0.449288712,44.0182449
Delft,Delft-35,0.49896288,57.95238438
Delft,Delft-35,0.55085825,69.88375763
Delft,Delft-35,0.600532418,83.69006097
Delft,Delft-35,0.650206585,98.00770887
Delft,Delft-35,0.699880753,108.7459448
Delft,Delft-36,0.099348335,1.1495661
Delft,Delft-36,0.149022503,2.426861767
Delft,Delft-36,0.200917873,4.640840923
Delft,Delft-36,0.250592041,7.621197478
Delft,Delft-36,0.300266209,11.62339057
Delft,Delft-36,0.349940376,17.37122107
Delft,Delft-36,0.399614544,27.37670379
Delft,Delft-36,0.449288712,41.42695612
Delft,Delft-36,0.49896288,56.58419804
Delft,Delft-36,0.55085825,69.91064949
Delft,Delft-36,0.600532418,82.59845312
Delft,Delft-36,0.650206585,96.90416458
Delft,Delft-36,0.699880753,108.6978612
Delft,Delft-36,0.749554921,119.1291092
Delft,Delft-37,0.099348335,1.106528329
Delft,Delft-37,0.149022503,2.553526912
Delft,Delft-37,0.198696671,4.468672097
Delft,Delft-37,0.250592041,7.447786828
Delft,Delft-37,0.300266209,11.40575354
Delft,Delft-37,0.349940376,17.27886544
Delft,Delft-37,0.401835747,26.89715014
Delft,Delft-37,0.449288712,41.70760624
Delft,Delft-37,0.49896288,54.43268202
Delft,Delft-37,0.55085825,68.51963882
Delft,Delft-37,0.600532418,82.22356658
Delft,Delft-37,0.650206585,96.31052338
Delft,Delft-37,0.699880753,107.4183654
Delft,Delft-38,0.100055082,1.250883121
Delft,Delft-38,0.149931177,3.235042554
Delft,Delft-38,0.200211127,6.340683405
Delft,Delft-38,0.250592041,10.91287688
Delft,Delft-38,0.300266209,16.26148057
Delft,Delft-38,0.349940376,24.1118505
Delft,Delft-38,0.399614544,37.18142242
Delft,Delft-38,0.449490639,54.95258951
Delft,Delft-38,0.50138601,73.80210413
Delft,Delft-38,0.550656322,89.15777278
Delft,Delft-38,0.600532418,103.6507634
Delft,Delft-38,0.650408513,115.9439251
Delft,Delft-38,0.70008268,126.4685969
Delft,Delft-38,0.749958776,135.56985
Delft,Delft-39,0.100055082,0.990824537
Delft,Delft-39,0.149931177,2.24012504
Delft,Delft-39,0.2000092,4.135615458
Delft,Delft-39,0.250592041,6.677295792
Delft,Delft-39,0.300670064,10.16672133
Delft,Delft-39,0.349738449,15.12084402
Delft,Delft-39,0.399614544,25.02908939
Delft,Delft-39,0.449490639,39.37450551
Delft,Delft-39,0.501184082,54.02147692
Delft,Delft-39,0.550656322,66.08368867
Delft,Delft-39,0.60033049,76.72428261
Delft,Delft-39,0.650408513,88.5280184
Delft,Delft-39,0.699880753,99.64248494
Delft,Delft-39,0.749958776,109.0337784
Delft,Delft-42,0.099853181,0.328462757
Delft,Delft-42,0.149931217,0.911219261
Delft,Delft-42,0.200009253,1.727078366
Delft,Delft-42,0.249784397,3.062120539
Delft,Delft-42,0.300064361,5.467315565
Delft,Delft-42,0.350142397,8.847303288
Delft,Delft-42,0.399917542,23.18311329
Delft,Delft-42,0.449995578,51.1448299
Delft,Delft-42,0.499770722,89.09817167
Delft,Delft-42,0.550050686,116.2122425
Delft,Delft-42,0.599926794,135.0511709
Delft,Delft-42,0.649903866,146.557963
Delft,Delft-42,0.699981902,154.7801275
Delft,Delft-42,0.749958975,160.9361553
Delft,Delft-43,0.099853181,0.556145969
Delft,Delft-43,0.149931217,1.365085561
Delft,Delft-43,0.200009253,2.490017181
Delft,Delft-43,0.249784397,4.322770944
Delft,Delft-43,0.300064361,7.406853137
Delft,Delft-43,0.350142397,12.43744622
Delft,Delft-43,0.399917542,25.46895746
Delft,Delft-43,0.449995578,49.29475637
Delft,Delft-43,0.499770722,83.27021923
Delft,Delft-43,0.550050686,108.9414116
Delft,Delft-43,0.599926794,127.8250952
Delft,Delft-43,0.649903866,139.6558367
Delft,Delft-43,0.699981902,150.0330149
Delft,Delft-43,0.749958975,157.8569775
Delft,Delft-44,0.099853181,0.467321241
Delft,Delft-44,0.149931217,1.136727343
Delft,Delft-44,0.200009253,2.071369825
Delft,Delft-44,0.249784397,3.485963852
Delft,Delft-44,0.350142397,9.889527885
Delft,Delft-44,0.399917542,22.55772261
Delft,Delft-44,0.449995578,49.11925153
Delft,Delft-44,0.499770722,82.71585967
Delft,Delft-44,0.550050686,105.6651217
Delft,Delft-44,0.599926794,122.8675955
Delft,Delft-44,0.649903866,134.2853901
Delft,Delft-44,0.699981902,139.7416814
Delft,Delft-44,0.749958975,149.7954032
Delft,Delft-45,0.099853181,0.353604789
Delft,Delft-45,0.149931217,0.896640716
Delft,Delft-45,0.200009253,1.944826341
Delft,Delft-45,0.249784397,3.182443103
Delft,Delft-45,0.300064361,5.619790401
Delft,Delft-45,0.350142397,8.713832307
Delft,Delft-45,0.399917542,24.1714131
Delft,Delft-45,0.449995578,49.88353277
Delft,Delft-45,0.499770722,81.82162249
Delft,Delft-45,0.550050686,103.9219218
Delft,Delft-45,0.599926794,117.6619936
Delft,Delft-45,0.649903866,127.891275
Delft,Delft-45,0.699981902,135.8600115
Delft,Delft-45,0.749958975,139.5602331
Delft,Delft-46,0.099853181,0.683696688
Delft,Delft-46,0.149931217,1.462792913
Delft,Delft-46,0.200009253,2.559887598
Delft,Delft-46,0.249784397,4.197579664
Delft,Delft-46,0.350142397,11.54334408
Delft,Delft-46,0.399917542,23.61138561
Delft,Delft-46,0.449995578,46.18927622
Delft,Delft-46,0.499770722,72.98064643
Delft,Delft-46,0.550050686,92.07645391
Delft,Delft-46,0.599926794,107.9127772
Delft,Delft-46,0.649903866,119.0745231
Delft,Delft-46,0.699981902,128.2964784
Delft,Delft-46,0.750059938,135.9284415
Delft,Delft-47,0.099853181,0.636706998
Delft,Delft-47,0.124993162,1.022082286
Delft,Delft-47,0.149931217,1.407457575
Delft,Delft-47,0.174768307,1.943631889
Delft,Delft-47,0.200009253,2.630605229
Delft,Delft-47,0.249784397,4.30614996
Delft,Delft-47,0.300064361,7.238353241
Delft,Delft-47,0.350142397,11.56125865
Delft,Delft-47,0.397494411,21.43021712
Delft,Delft-47,0.449995578,43.12852139
Delft,Delft-47,0.499770722,68.16115968
Delft,Delft-47,0.550050686,86.17326555
Delft,Delft-47,0.599926794,103.2470664
Delft,Delft-47,0.649903866,115.0596567
Delft,Delft-47,0.699981902,124.6940389
Delft,Delft-48,0.099853181,0.538444636
Delft,Delft-48,0.149931217,1.321636833
Delft,Delft-48,0.200009253,2.545374641
Delft,Delft-48,0.249784397,4.470722126
Delft,Delft-48,0.300064361,7.848238477
Delft,Delft-48,0.350142397,12.98793727
Delft,Delft-48,0.399917542,26.64485121
Delft,Delft-48,0.449995578,49.74902103
Delft,Delft-48,0.499770722,76.62230331
Delft,Delft-48,0.550050686,95.69629661
Delft,Delft-48,0.599926794,111.2296085
Delft,Delft-48,0.649903866,121.9495517
Delft,Delft-48,0.699981902,129.6509417
Delft,Delft-48,0.750059938,136.2264928
Delft,Delft-49,0.09975219,0.498920575
Delft,Delft-49,0.149931177,1.324720149
Delft,Delft-49,0.199807272,2.632236139
Delft,Delft-49,0.250390114,4.576305968
Delft,Delft-49,0.300266209,7.965525049
Delft,Delft-49,0.349738449,12.98913912
Delft,Delft-49,0.399109725,23.36324626
Delft,Delft-49,0.449288712,44.78242268
Delft,Delft-49,0.500982155,68.98867267
Delft,Delft-49,0.550454395,86.15842213
Delft,Delft-49,0.600027599,103.3453757
Delft,Delft-49,0.649701766,115.5087153
Delft,Delft-49,0.699174007,124.7129397
Delft,Delft-49,0.749050102,132.489219
Delft,Delft-50,0.099550263,0.618828489
Delft,Delft-50,0.149931177,1.426743461
Delft,Delft-50,0.199908236,2.647210758
Delft,Delft-50,0.250390114,4.589644626
Delft,Delft-50,0.300165245,7.649407711
Delft,Delft-50,0.349940376,12.84069115
Delft,Delft-50,0.399614544,24.08274203
Delft,Delft-50,0.449288712,46.37775731
