시리즈,선형번호,전저항_Rt/Δ×10³,레이놀즈수_Rn,프루드수_Fn,주형계수_Cp,중앙단면계수_Cm,방형계수_Cb,수선면계수_Cw,길이폭비_L/B,폭흘수비_B/T,길이흘수비_L/T,세장비_L/∇^(1/3),부심위치_LCB/L,부면심위치_LCF/L,LCB/LCF,침수면적비_S/∇^(2/3),수선면적비_Aw/∇^(2/3),S/Aw,S/Ax,Ax/Aw
Delft,Delft-1,0.367053553,9870388.981,0.099954117,0.564413502,0.646409597,0.364842305,0.688295991,3.154574163,3.992443385,12.59445875,4.775347934,-0.022899999,-0.033299999,0.687687685,5.723559304,4.97558945,1.150327888,15.42654257,0.074568095
Delft,Delft-1,1.012177978,14805583.47,0.149931176,0.564413502,0.646409597,0.364842305,0.688295991,3.154574163,3.992443385,12.59445875,4.775347934,-0.022899999,-0.033299999,0.687687685,5.723559304,4.97558945,1.150327888,15.42654257,0.074568095
Delft,Delft-1,1.924250442,19740777.96,0.199908234,0.564413502,0.646409597,0.364842305,0.688295991,3.154574163,3.992443385,12.59445875,4.775347934,-0.022899999,-0.033299999,0.687687685,5.723559304,4.97558945,1.150327888,15.42654257,0.074568095
Delft,Delft-1,3.525938671,24675972.45,0.249885293,0.564413502,0.646409597,0.364842305,0.688295991,3.154574163,3.992443385,12.59445875,4.775347934,-0.022899999,-0.033299999,0.687687685,5.723559304,4.97558945,1.150327888,15.42654257,0.074568095
Delft,Delft-1,6.028576529,29641077.21,0.300165243,0.564413502,0.646409597,0.364842305,0.688295991,3.154574163,3.992443385,12.59445875,4.775347934,-0.022899999,-0.033299999,0.687687685,5.723559304,4.97558945,1.150327888,15.42654257,0.074568095
Delft,Delft-1,10.07728844,34576271.7,0.350142301,0.564413502,0.646409597,0.364842305,0.688295991,3.154574163,3.992443385,12.59445875,4.775347934,-0.022899999,-0.033299999,0.687687685,5.723559304,4.97558945,1.150327888,15.42654257,0.074568095
Delft,Delft-1,23.04651396,39501496.1,0.400018396,0.564413502,0.646409597,0.364842305,0.688295991,3.154574163,3.992443385,12.59445875,4.775347934,-0.022899999,-0.033299999,0.687687685,5.723559304,4.97558945,1.150327888,15.42654257,0.074568095
Delft,Delft-1,48.38433192,44436690.59,0.449995455,0.564413502,0.646409597,0.364842305,0.688295991,3.154574163,3.992443385,12.59445875,4.775347934,-0.022899999,-0.033299999,0.687687685,5.723559304,4.97558945,1.150327888,15.42654257,0.074568095
Delft,Delft-1,83.64371863,49381855.17,0.500073477,0.564413502,0.646409597,0.364842305,0.688295991,3.154574163,3.992443385,12.59445875,4.775347934,-0.022899999,-0.033299999,0.687687685,5.723559304,4.97558945,1.150327888,15.42654257,0.074568095
Delft,Delft-1,114.9211304,54307079.57,0.549949572,0.564413502,0.646409597,0.364842305,0.688295991,3.154574163,3.992443385,12.59445875,4.775347934,-0.022899999,-0.033299999,0.687687685,5.723559304,4.97558945,1.150327888,15.42654257,0.074568095
Delft,Delft-1,131.8278395,59242274.06,0.599926631,0.564413502,0.646409597,0.364842305,0.688295991,3.154574163,3.992443385,12.59445875,4.775347934,-0.022899999,-0.033299999,0.687687685,5.723559304,4.97558945,1.150327888,15.42654257,0.074568095
Delft,Delft-2,0.389426578,9870388.981,0.099954117,0.567367424,0.646341669,0.366713208,0.690833066,3.623188502,3.04299897,11.02535888,4.775868614,-0.023,-0.0334,0.688622759,5.421911768,4.348975172,1.246710214,14.69160399,0.084858686
